feature,severity,rule,definition
Opening,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Opening,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Opening,Violation,LabelMustNotBeBlank,Validates that a Label (prefLabel and altLabel) is not blank.
Opening,Violation,NameMustBeString,Validates that a name is a string data type.
Opening,Violation,OpeningCategoryMustBeValid,Validates the category assigned to an Opening.
Opening,Violation,OpeningDoorMaterialMustBeValid,Validates that the Opening's door material is valid.
Opening,Violation,OpeningDoorTypeMustBeValid,Validates that the Opening door type is valid.
Opening,Violation,OpeningMustBeCoveredByReferencedLevel,Validates that an Opening is within the referenced Level.
Opening,Violation,OpeningMustHaveCategory,Validates that an Opening has a category.
Opening,Violation,OpeningMustHaveLineStringGeometry,Validates that an Opening has a LineString geometry.
Opening,Violation,OpeningMustReferenceLevel,Validates that an Opening references a Level.
Opening,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Opening,Warning,HasOnlyAltName,"Validates that an alt_name value is not exclusive, that it is accompanied by a name value."
Opening,Warning,OpeningDisplayPointShouldBeWithinBufferedDistanceOfOpening,Validates that an Opening display_point is within a buffered distance of the line-string.
Opening,Warning,OpeningIsSuspiciouslyLarge,Validates that the Opening length does not exceed 45 meters.
Opening,Warning,OpeningIsSuspiciouslySmall,Validates that the Opening length exceeds 0.8382 meters.
Opening,Warning,OpeningMustBeCoveredByUnitBoundary,Validates that an Opening is covered by a Unit's boundary.
Opening,Warning,OpeningsMustNotCrossOrOverlap,Validates that an Opening does not cross or overlap another Opening referencing the same Level.
Relationship,Info,RelationshipHasGeometry,Validates that a Relationship has geometry.
Relationship,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Relationship,Violation,InvalidRelationshipDestinationReference,Validates the integrity of a feature reference.
Relationship,Violation,InvalidRelationshipIntermediaryReference,Validates the integrity of a feature reference.
Relationship,Violation,InvalidRelationshipOriginReference,Validates the integrity of a feature reference.
Relationship,Violation,RelationshipCategoryMustBeValid,Validates the category assigned to a Relationship.
Relationship,Violation,RelationshipDirectionMustBeValid,Validates the direction assigned to a Relationship.
Relationship,Violation,RelationshipMustHaveCategory,Validates that a Relationship has a category.
Section,Info,SectionHasInteriorRing,Validates that a Section does not possess an interior ring.
Section,Info,SectionHasParentReference,Validates that a Section has a parent reference.
Section,Info,SectionsOverlap,Validates that Section interiors do not intersect on the same Level.
Section,Violation,AccessibilityMustBeValid,Validates the accessibility category assigned to the feature.
Section,Violation,AltNameMustBeString,Validates that an alt_name is a string data type.
Section,Violation,CorrelationIdMustBeMatched,Validates that a correlation_id is matched by at least one other feature's correlation_id in the same feature-type.
Section,Violation,DisplayPointMustBePointGeometry,Validates that a display_point is a point geometry type.
Section,Violation,InvalidCorrelationID,Validates that a 'correlation_id' is a valid v4 UUID value.
Section,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Section,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Section,Violation,LabelMustNotBeBlank,Validates that a Label (prefLabel and altLabel) is not blank.
Section,Violation,LevelIDsMustBeDissimilarForCorrelationID,"Validates that features from the same feature-type, whose correlation_id match, possess dissimilar Level id values."
Section,Violation,NameMustBeString,Validates that a name is a string data type.
Section,Violation,RestrictionCategoryMustBeValid,Validates the category assigned to a Restriction.
Section,Violation,SectionCategoryMustBeValid,Validates the category assigned to a Section.
Section,Violation,SectionMustBeCoveredByReferencedLevel,Validates that a Section is covered by the referenced Level.
Section,Violation,SectionMustHaveCategory,Validates that a Section has a category.
Section,Violation,SectionMustHavePolygonalGeometry,Validates that a Section has a Polygon or MultiPolygon geometry.
Section,Violation,SectionMustReferenceLevel,Validates that a Section references a Level.
Section,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Section,Warning,CategoryShouldBeSameForCorrelationID,Validates that features with matching correlation_id possess the same category.
Section,Warning,HasOnlyAltName,"Validates that an alt_name value is not exclusive, that it is accompanied by a name value."
Section,Warning,SectionGeometryMustContainDisplayPoint,Validates that the display_point is within its Section.
Unit,Violation,AccessibilityMustBeValid,Validates the accessibility category assigned to the feature.
Unit,Violation,AltNameMustBeString,Validates that an alt_name is a string data type.
Unit,Violation,DisplayPointMustBePointGeometry,Validates that a display_point is a point geometry type.
Unit,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Unit,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Unit,Violation,LabelMustNotBeBlank,Validates that a Label (prefLabel and altLabel) is not blank.
Unit,Violation,NameMustBeString,Validates that a name is a string data type.
Unit,Violation,RestrictionCategoryMustBeValid,Validates the category assigned to a Restriction.
Unit,Violation,UnitCategoryMustBeValid,Validates the category assigned to a Unit.
Unit,Violation,UnitMustBeCoveredByReferencedLevel,Validates that a Unit is covered by the referenced Level.
Unit,Violation,UnitMustHaveCategory,Validates that a Unit has a category.
Unit,Violation,UnitMustHavePolygonalGeometry,Validates that a Unit has Polygon or MultiPolygon geometry.
Unit,Violation,UnitMustReferenceLevel,Validates that a Unit references a Level.
Unit,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Unit,Warning,HasOnlyAltName,"Validates that an alt_name value is not exclusive, that it is accompanied by a name value."
Unit,Warning,UnitGeometryMustContainDisplayPoint,"Validates that a display_point, if present, is contained by the Unit."
Unit,Warning,UnitsMustNotOverlap,Validates that Unit interiors do not intersect.
Venue,Violation,AltNameMustBeString,Validates that an alt_name is a string data type.
Venue,Violation,DisplayPointMustBePointGeometry,Validates that a display_point is a point geometry type.
Venue,Violation,HoursMustNotBeBlank,Validates that hours are not blank. (Not empty string or whitespace.)
Venue,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Venue,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Venue,Violation,LabelMustNotBeBlank,Validates that a Label (prefLabel and altLabel) is not blank.
Venue,Violation,NameMustBeString,Validates that a name is a string data type.
Venue,Violation,PhoneMustBeValid,Validates that the phone is correctly formatted.
Venue,Violation,RestrictionCategoryMustBeValid,Validates the category assigned to a Restriction.
Venue,Violation,VenueCategoryMustBeValid,Validates the category assigned to a Venue.
Venue,Violation,VenueGeometryMustContainDisplayPoint,Validates that a display_point assigned to a Venue feature is contained by its polygonal geometry.
Venue,Violation,VenueMustCoverAllChildFeatures,Validates that all features are contained within the Venue.
Venue,Violation,VenueMustHaveAddress,Validates that a Venue references an Address.
Venue,Violation,VenueMustHaveAtLeastOneBuilding,Validates that a delivery contains at least one Building.
Venue,Violation,VenueMustHaveCategory,Validates that the Venue has a category.
Venue,Violation,VenueMustHaveName,Validates that a Venue has a Name.
Venue,Violation,VenueMustHavePolygonalGeometry,Validates that a Venue has Polygon or MultiPolygon geometry.
Venue,Violation,WebsiteMustBeValid,Validates that a website URL is correctly formatted.
Venue,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Venue,Warning,VenueGeometryShouldNotHaveInteriorRing,Validates that a Venue does not possess an interior ring.
Venue,Warning,VenueHasNoDisplayPoint,Validates that the Venue has a display_point.
Venue,Warning,VenueShouldHaveHours,Validates that a Venue has hours (of operation).
Venue,Warning,VenueShouldHavePhone,Validates that a Venue has a phone (telephone number).
Venue,Warning,VenueShouldHaveWebsite,Validates that a Venue has a website.
