feature,severity,rule,definition
Unit,Warning,HasOnlyAltName,"Validates that an `alt_name` value is not exclusive, that it is accompanied by a `name` value."
Unit,Warning,UnitGeometryMustContainDisplayPoint,Validates that the `display_point` is within the Unit.
Unit,Warning,UnitShouldHaveOpening,Validates that an Opening is covered by an expected category of Unit.
Unit,Warning,UnitShouldNotHaveOpening,Validates that an Opening is not covered by a particular category of Unit.
Venue,Violation,InvalidAddressReference,Validates the integrity of an Address reference.
Venue,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Venue,Violation,InvalidLanguageTag,Validates that a language tag is valid value.
Venue,Violation,RestrictionCategoryMustBeValid,Validates that a restriction category is valid.
Venue,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Venue,Violation,VenueCategoryMustBeValid,Validates the category assigned to a Venue.
Venue,Violation,VenueCountMustBeExactlyOne,Validates that a delivery contains only one Venue feature.
Venue,Violation,VenueGeometryMustContainDisplayPoint,Validates that a display point assigned to a Venue feature is contained by its polygonal geometry.
Venue,Violation,VenueMustCoverAllChildFeatures,Validates that all features are contained within the Venue.
Venue,Violation,VenueMustHaveAddress,Validates that a Venue references an Address.
Venue,Violation,VenueMustHaveAtLeastOneBuilding,Validates that a delivery contains at least one Building.
Venue,Violation,VenueMustHaveCategory,Validates that the Venue has a category value.
Venue,Violation,VenueMustHaveDisplayPoint,Validates that the Venue has a display point.
Venue,Violation,VenueMustHaveName,Validates that a Venue has a name.
Venue,Violation,VenueMustHavePolygonalGeometry,Validates that a Venue has Polygon or MultiPolygon geometry.
Venue,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an `alt_name` has a corresponding presence and association with a `name` value.
Venue,Warning,ExpectedLanguageTagForCountryNotPresent,"Validates that amongst a feature's labels, there is at least one label whose associated language tag corresponds with the language that is expected to be spoken in the `country` identified in a Venue's Address."
Venue,Warning,PhoneMatchesUnexpectedCountryCode,Validates that a phone prefix does not match a country calling code that is unexpected for the country in which the Venue is located.
Venue,Warning,PhoneMustBeValid,Validates that the phone is E.164 compliant.
Venue,Warning,VenueGeometryShouldNotHaveInteriorRing,Validates that a Venue does not possess an interior ring.
Venue,Warning,VenueShouldHaveHours,Validates that a Venue has hours (of operation).
Venue,Warning,VenueShouldHavePhone,Validates that a Venue has a phone (telephone number).
Venue,Warning,VenueShouldHaveWebsite,Validates that a Venue has a website.
Venue,Warning,WebsiteMustBeValid,Validates that a web site URL is correct.
