collection,venueType,feature,category,definition
amenity/trainstation,trainstation,amenity,animalreliefarea,"A convenience area for service animal relief, often be equipped with water bowls and animal toiletries"
amenity/trainstation,trainstation,amenity,animalreliefarea,Models the presence and approximate point location of a Service Animal Relief Area (SARA) or domestic pet relief area.
amenity/trainstation,trainstation,amenity,babychanging,"Location for the specific purpose of changing a baby, does not contain bathroom facilities."
amenity/trainstation,trainstation,amenity,baggagecarousel,Models the presence and approximate point location of an individual Baggage Carousel.
amenity/trainstation,trainstation,amenity,baggagecarts,Models the presence and approximate point location of a baggage/luggage trolley system.
amenity/trainstation,trainstation,amenity,boardinggate.train,Models the presence and approximate point location of a traint boarding gate operation.
amenity/trainstation,trainstation,amenity,checkin.desk,Models the presence and approximate point location or physical extent of furniture that supports one or more check-in desk operations.
amenity/trainstation,trainstation,amenity,checkin.desk.oversizebaggage,"Models the presence and approximate point location of a check-in area, desk, or service where special or oversized baggage may be checked in."
amenity/trainstation,trainstation,amenity,checkin.selfservice,Models the presence and approximate point location of furniture/equipment that supports full or semi-automated check-in operations.
amenity/trainstation,trainstation,amenity,coinlocker,
amenity/trainstation,trainstation,amenity,defibrillator,Models the presence and approximate point location of an Automated External Defibrillator (AED). 
amenity/trainstation,trainstation,amenity,drinkingfountain,Models the presence and approximate point location of drinking water.
amenity/trainstation,trainstation,amenity,eatingdrinking,"Models the presence and approximate thematic extent of an open or semi-enclosed environment that is used as a ""common"" area for dining."
amenity/trainstation,trainstation,amenity,elevator,Models the presence and approximate point location of one or more elevator that offers vertical traversal capabilities.
amenity/trainstation,trainstation,amenity,escalator,Models the presence and physical extent of a single escalator that offers vertical traversal capabilities.
amenity/trainstation,trainstation,amenity,faregate,Models the presence and approximate point location of equipment that supports a fully automated or manned fare gate operation.
amenity/trainstation,trainstation,amenity,firstaid,"Models the presence and approximate point location of: A medical support operation or First Aid, or the physical extent of a space containing a medical support operation.."
amenity/trainstation,trainstation,amenity,immigration,"Models the presence and approximate point location of an immigration operation. (Also known as ""Passport Control."")"
amenity/trainstation,trainstation,amenity,information,Models the presence and approximate thematic extent of an open or semi-enclosed environment whose intended purpose is the offering of information.
amenity/trainstation,trainstation,amenity,lostandfound,Models the presence and approximate point location of a service where a pedestrian may retrieve personal belongings.
amenity/trainstation,trainstation,amenity,mothersroom,Models the presence and approximate point or physical extent of an enclosed space where a woman may breastfeed or use a breast pump in private.
amenity/trainstation,trainstation,amenity,movingwalkway,Models the presence and approximate point location or physical extent of one or more neighboring moving conveyor mechanism that transports pedestrians across a horizontal or inclined plane over a short to medium distance.
amenity/trainstation,trainstation,amenity,paidarea,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a paid area.
amenity/trainstation,trainstation,amenity,parking,"Locations that provide office space to park vehicles, usually for a fee."
amenity/trainstation,trainstation,amenity,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
amenity/trainstation,trainstation,amenity,parking.bicycle,"A business that offers parking spaces/services for bicycles only OR a large space specifically made for parking bicycles only, with or without a fee and may or may not have onsite pesonnel. OK to use for businesses that provide bike valet services as a core offering. Please note this should only be used for locations/businesses whose core competency is bike parking. Businesses that have bike racks at/outside of their space should not be categorized under Bike Parking (they should use the Bike Parking attribute, instead). Random bike racks located on public streets/areas are ineligible for a listing. "
amenity/trainstation,trainstation,amenity,parking.bicycle,Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed environment whose intended purpose is the storage of bicycles.
amenity/trainstation,trainstation,amenity,peoplemover,Models the presence and approximate point location of a transit stop that is associated with a transportation system describable as an Automated People Mover.
amenity/trainstation,trainstation,amenity,platform,Models the presence and approximate point location of an individually named (or numbered) train platform. 
amenity/trainstation,trainstation,amenity,platform,"Models the presence and approximate thematic extent of an open or semi-enclosed area of a railway platform that is distinct from another area of the same physical railway platform, or the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a platform."
amenity/trainstation,trainstation,amenity,restroom,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single enclosed space, containing bathroom facilities."
amenity/trainstation,trainstation,amenity,restroom.family,A bathroom intended for family use
amenity/trainstation,trainstation,amenity,restroom.family,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a family."
amenity/trainstation,trainstation,amenity,restroom.female,A bathroom intended for female use
amenity/trainstation,trainstation,amenity,restroom.female,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a female."
amenity/trainstation,trainstation,amenity,restroom.female.wheelchair,Models the presence and approximate point location of a female bathroom facility that is entirely dedicated to persons with a disability.
amenity/trainstation,trainstation,amenity,restroom.male,A bathroom intended for male use
amenity/trainstation,trainstation,amenity,restroom.male,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a male."
amenity/trainstation,trainstation,amenity,restroom.male.wheelchair,Models the presence and approximate point location of a male bathroom facility that is entirely dedicated to persons with a disability.
amenity/trainstation,trainstation,amenity,restroom.unisex,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by any person."
amenity/trainstation,trainstation,amenity,restroom.unisex,"Restroom designed to be used by any person, regardless of gender."
amenity/trainstation,trainstation,amenity,restroom.wheelchair,Dedicated restroom designed to be accessible for those with physical disabilities.
amenity/trainstation,trainstation,amenity,restroom.wheelchair,Models the presence and approximate point location of a bathroom facility that is entirely dedicated to persons with a disability.
amenity/trainstation,trainstation,amenity,rideshare,Business or service that facilitates ride sharing or carpooling allowing multiple riders to share a car trip.
amenity/trainstation,trainstation,amenity,rideshare,Models the presence and approximate point location of a ride-share pick-up spot or zone.
amenity/trainstation,trainstation,amenity,seating,models the presence and location of an open or semi-enclosed seating environment.
amenity/trainstation,trainstation,amenity,security.checkpoint,Models the presence and approximate point location of personnel/equipment that supports a security operation.
amenity/trainstation,trainstation,amenity,security.inspection,Models the presence and approximate point location of an inspection operation. Customs Inspection (International Travel) National/Federal Inspection (Domestic Travel)
amenity/trainstation,trainstation,amenity,shuttle,"Models the presence and approximate point location of one or more bus stop that is serviced by a private enterprise, not a national or local transit authority."
amenity/trainstation,trainstation,amenity,smokingarea,"Models the presence and approximate point location, or physical extent of a space containing a smoking area or facility."
amenity/trainstation,trainstation,amenity,stairs,"Models the presence and approximate point location of one or more neighboring staircase, or the physical extent of a single staircase, that supports vertical traversal to a physically different floor that may or may not be eligible for capture as a Level."
amenity/trainstation,trainstation,amenity,taxi,A vehicle providing individualized transportation a location specified by the customer.
amenity/trainstation,trainstation,amenity,taxi,Models the presence and approximate point location of a taxi waiting area or line-up.
amenity/trainstation,trainstation,amenity,vendingmachine.trainticket,Models the presence and approximate point location of an automated system that vends train tickets.
amenity/trainstation,trainstation,amenity,wheelchairassist,Models the presence and approximate point location of a wheelchair assistance service.
building,,building,parking,"Locations that provide office space to park vehicles, usually for a fee."
building,,building,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
building,,building,transit,Describes a physical structure whose sole operational purpose is to provide transportation services.
building,,building,transit,"Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians: Within or among different parts of the same Venue (inter-venue transit). Within, among and beyond the Venue."
building,,building,transit.bus,Describes a physical structure whose sole operational purpose is to provide bus transportation services.
building,,building,transit.train,Describes a physical structure whose sole operational purpose is to provide train transportation services.
building,,building,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
building/airport,airport,building,parking,"Locations that provide office space to park vehicles, usually for a fee."
building/airport,airport,building,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
building/airport,airport,building,transit,Describes a physical structure whose sole operational purpose is to provide transportation services.
building/airport,airport,building,transit,"Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians: Within or among different parts of the same Venue (inter-venue transit). Within, among and beyond the Venue."
building/airport,airport,building,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
building/airport,airport.intl,building,parking,"Locations that provide office space to park vehicles, usually for a fee."
building/airport,airport.intl,building,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
building/airport,airport.intl,building,transit,Describes a physical structure whose sole operational purpose is to provide transportation services.
building/airport,airport.intl,building,transit,"Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians: Within or among different parts of the same Venue (inter-venue transit). Within, among and beyond the Venue."
building/airport,airport.intl,building,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
building/shoppingcenter,shoppingcenter,building,parking,"Locations that provide office space to park vehicles, usually for a fee."
building/shoppingcenter,shoppingcenter,building,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
building/shoppingcenter,shoppingcenter,building,transit,Describes a physical structure whose sole operational purpose is to provide transportation services.
building/shoppingcenter,shoppingcenter,building,transit,"Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians: Within or among different parts of the same Venue (inter-venue transit). Within, among and beyond the Venue."
building/shoppingcenter,shoppingcenter,building,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
building/trainstation,trainstation,building,parking,"Locations that provide office space to park vehicles, usually for a fee."
building/trainstation,trainstation,building,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
building/trainstation,trainstation,building,transit,Describes a physical structure whose sole operational purpose is to provide transportation services.
building/trainstation,trainstation,building,transit,"Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians: Within or among different parts of the same Venue (inter-venue transit). Within, among and beyond the Venue."
building/trainstation,trainstation,building,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
door,,door,door,
door,,door,movablepartition,Models a partition wall that may open to join two or more rooms into one large floor area.
door,,door,open,Models a doorway that is without a physical barrier. (It has no physical door.)
door,,door,revolving,Models a physical door that rotates.
door,,door,shutter,Models a physical door that rolls open and closed.
door,,door,sliding,Models a physical door that slides or glides open and closed.
door,,door,swinging,Models a physical door that swings open and closed.
door,,door,turnstile,
door,,door,turnstile.fullheight,
door,,door,turnstile.waistheight,
door,,door,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
door-material,,door-material,gate,
door-material,,door-material,glass,
door-material,,door-material,metal,
door-material,,door-material,wood,
fixture,,fixture,baggagecarousel,Models the presence and approximate point location of an individual Baggage Carousel.
fixture,,fixture,boardinggate.desk,Models the presence and physical extent of furniture that supports a boarding gate operation.
fixture,,fixture,checkin.desk,Models the presence and approximate point location or physical extent of furniture that supports one or more check-in desk operations.
fixture,,fixture,checkin.kiosk,Models the presence and physical extent of an automated or semi-automated check-in and/or ticketing kiosk operation.
fixture,,fixture,desk,Models the presence and physical extent of an individual or shared work surface or desk.
fixture,,fixture,equipment,Models the presence and physical extent of capital equipment that supports an operation.
fixture,,fixture,furniture,"A shop that sells furniture, such as tables, chairs, couches, desks. The items sold are of a more general spread of purpose types, not to be confused with specialized stores like mattress stores or outdoor furniture stores. "
fixture,,fixture,furniture,"Models the presence and physical extent of moveable or built-in furniture and appliances. Built-in furniture/appliances includes, but is not limited to: Cabinets, office and restaurant countertops, restaurant bars, shelving, bookcases, display cases, lockers, and large kitchen appliances. Moveable furniture/appliances includes, but is not limited to: Unassigned desks/work surfaces, tables, filing cabinets, and large kitchen appliances."
fixture,,fixture,immigration.desk,Models the presence and physical extent of furniture that supports immigration (passport control) operations.
fixture,,fixture,inspection.desk,Models the presence and physical extent of furniture that supports an inspection or security operation.
fixture,,fixture,obstruction,"Models the presence and physical extent of a physical, non-traversable object."
fixture,,fixture,securityequipment,Models the presence and physical extent of capital equipment that supports a security operation.
fixture,,fixture,stage,
fixture,,fixture,vegetation,Models the presence and physical extent of a natural or artificial vegetation feature or an open or semi-enclosed vegetative area that may or may not be prohibited from being used as a pedestrian pathway.
fixture,,fixture,wall,"Models the presence and physical extent of a standalone barrier that is permanent, temporary or moveable."
fixture,,fixture,water,Models the presence and physical extent of a natural or artificial water feature.
fixture/airport,airport,fixture,baggagecarousel,Models the presence and approximate point location of an individual Baggage Carousel.
fixture/airport,airport,fixture,checkin.desk,Models the presence and approximate point location or physical extent of furniture that supports one or more check-in desk operations.
fixture/airport,airport,fixture,furniture,"A shop that sells furniture, such as tables, chairs, couches, desks. The items sold are of a more general spread of purpose types, not to be confused with specialized stores like mattress stores or outdoor furniture stores. "
fixture/airport,airport,fixture,furniture,"Models the presence and physical extent of moveable or built-in furniture and appliances. Built-in furniture/appliances includes, but is not limited to: Cabinets, office and restaurant countertops, restaurant bars, shelving, bookcases, display cases, lockers, and large kitchen appliances. Moveable furniture/appliances includes, but is not limited to: Unassigned desks/work surfaces, tables, filing cabinets, and large kitchen appliances."
fixture/airport,airport,fixture,inspection.desk,Models the presence and physical extent of furniture that supports an inspection or security operation.
fixture/airport,airport,fixture,obstruction,"Models the presence and physical extent of a physical, non-traversable object."
fixture/airport,airport,fixture,vegetation,Models the presence and physical extent of a natural or artificial vegetation feature or an open or semi-enclosed vegetative area that may or may not be prohibited from being used as a pedestrian pathway.
fixture/airport,airport,fixture,water,Models the presence and physical extent of a natural or artificial water feature.
fixture/airport,airport.intl,fixture,baggagecarousel,Models the presence and approximate point location of an individual Baggage Carousel.
fixture/airport,airport.intl,fixture,checkin.desk,Models the presence and approximate point location or physical extent of furniture that supports one or more check-in desk operations.
fixture/airport,airport.intl,fixture,furniture,"A shop that sells furniture, such as tables, chairs, couches, desks. The items sold are of a more general spread of purpose types, not to be confused with specialized stores like mattress stores or outdoor furniture stores. "
fixture/airport,airport.intl,fixture,furniture,"Models the presence and physical extent of moveable or built-in furniture and appliances. Built-in furniture/appliances includes, but is not limited to: Cabinets, office and restaurant countertops, restaurant bars, shelving, bookcases, display cases, lockers, and large kitchen appliances. Moveable furniture/appliances includes, but is not limited to: Unassigned desks/work surfaces, tables, filing cabinets, and large kitchen appliances."
fixture/airport,airport.intl,fixture,inspection.desk,Models the presence and physical extent of furniture that supports an inspection or security operation.
fixture/airport,airport.intl,fixture,obstruction,"Models the presence and physical extent of a physical, non-traversable object."
fixture/airport,airport.intl,fixture,vegetation,Models the presence and physical extent of a natural or artificial vegetation feature or an open or semi-enclosed vegetative area that may or may not be prohibited from being used as a pedestrian pathway.
fixture/airport,airport.intl,fixture,water,Models the presence and physical extent of a natural or artificial water feature.
fixture/shoppingcenter,shoppingcenter,fixture,furniture,"A shop that sells furniture, such as tables, chairs, couches, desks. The items sold are of a more general spread of purpose types, not to be confused with specialized stores like mattress stores or outdoor furniture stores. "
fixture/shoppingcenter,shoppingcenter,fixture,furniture,"Models the presence and physical extent of moveable or built-in furniture and appliances. Built-in furniture/appliances includes, but is not limited to: Cabinets, office and restaurant countertops, restaurant bars, shelving, bookcases, display cases, lockers, and large kitchen appliances. Moveable furniture/appliances includes, but is not limited to: Unassigned desks/work surfaces, tables, filing cabinets, and large kitchen appliances."
fixture/shoppingcenter,shoppingcenter,fixture,obstruction,"Models the presence and physical extent of a physical, non-traversable object."
fixture/shoppingcenter,shoppingcenter,fixture,vegetation,Models the presence and physical extent of a natural or artificial vegetation feature or an open or semi-enclosed vegetative area that may or may not be prohibited from being used as a pedestrian pathway.
fixture/shoppingcenter,shoppingcenter,fixture,water,Models the presence and physical extent of a natural or artificial water feature.
fixture/trainstation,trainstation,fixture,baggagecarousel,Models the presence and approximate point location of an individual Baggage Carousel.
fixture/trainstation,trainstation,fixture,checkin.desk,Models the presence and approximate point location or physical extent of furniture that supports one or more check-in desk operations.
fixture/trainstation,trainstation,fixture,furniture,"A shop that sells furniture, such as tables, chairs, couches, desks. The items sold are of a more general spread of purpose types, not to be confused with specialized stores like mattress stores or outdoor furniture stores. "
fixture/trainstation,trainstation,fixture,furniture,"Models the presence and physical extent of moveable or built-in furniture and appliances. Built-in furniture/appliances includes, but is not limited to: Cabinets, office and restaurant countertops, restaurant bars, shelving, bookcases, display cases, lockers, and large kitchen appliances. Moveable furniture/appliances includes, but is not limited to: Unassigned desks/work surfaces, tables, filing cabinets, and large kitchen appliances."
fixture/trainstation,trainstation,fixture,inspection.desk,Models the presence and physical extent of furniture that supports an inspection or security operation.
fixture/trainstation,trainstation,fixture,obstruction,"Models the presence and physical extent of a physical, non-traversable object."
fixture/trainstation,trainstation,fixture,vegetation,Models the presence and physical extent of a natural or artificial vegetation feature or an open or semi-enclosed vegetative area that may or may not be prohibited from being used as a pedestrian pathway.
fixture/trainstation,trainstation,fixture,water,Models the presence and physical extent of a natural or artificial water feature.
footprint,,footprint,aerial,"Models the referenced Building as ""...represented as the shadow projected downward from an overhead light at infinity."""
footprint,,footprint,ground,Models the referenced Building using the actual physical extent at ground-level.
footprint,,footprint,subterranean,"Derived from the maximum extent of all floors, modeled as one or more Level, that exist below ground-level."
footprint/airport,airport,footprint,aerial,"Models the referenced Building as ""...represented as the shadow projected downward from an overhead light at infinity."""
footprint/airport,airport,footprint,ground,Models the referenced Building using the actual physical extent at ground-level.
footprint/airport,airport,footprint,subterranean,"Derived from the maximum extent of all floors, modeled as one or more Level, that exist below ground-level."
footprint/airport,airport.intl,footprint,aerial,"Models the referenced Building as ""...represented as the shadow projected downward from an overhead light at infinity."""
footprint/airport,airport.intl,footprint,ground,Models the referenced Building using the actual physical extent at ground-level.
footprint/airport,airport.intl,footprint,subterranean,"Derived from the maximum extent of all floors, modeled as one or more Level, that exist below ground-level."
footprint/shoppingcenter,shoppingcenter,footprint,aerial,"Models the referenced Building as ""...represented as the shadow projected downward from an overhead light at infinity."""
footprint/shoppingcenter,shoppingcenter,footprint,ground,Models the referenced Building using the actual physical extent at ground-level.
footprint/shoppingcenter,shoppingcenter,footprint,subterranean,"Derived from the maximum extent of all floors, modeled as one or more Level, that exist below ground-level."
footprint/trainstation,trainstation,footprint,aerial,"Models the referenced Building as ""...represented as the shadow projected downward from an overhead light at infinity."""
footprint/trainstation,trainstation,footprint,ground,Models the referenced Building using the actual physical extent at ground-level.
footprint/trainstation,trainstation,footprint,subterranean,"Derived from the maximum extent of all floors, modeled as one or more Level, that exist below ground-level."
geofence,,geofence,concourse,"A large open area inside or in front of a public building, as in an airport or train station."
geofence,,geofence,concourse,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a concourse.
geofence,,geofence,geofence,"A geofence is a virtual boundary. The purpose of the geofence is to attribute applicable features, that fall within its boundary, with characteristics held by the geofence itself. A geofence can support: Location ""awareness"" among features. Location-based services. Query and find by location functionality."
geofence,,geofence,paidarea,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a paid area.
geofence,,geofence,platform,Models the presence and approximate point location of an individually named (or numbered) train platform. 
geofence,,geofence,platform,"Models the presence and approximate thematic extent of an open or semi-enclosed area of a railway platform that is distinct from another area of the same physical railway platform, or the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a platform."
geofence,,geofence,postsecurity,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as post-security.
geofence,,geofence,presecurity,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as pre-security.
geofence,,geofence,terminal,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a terminal.
geofence,,geofence,underconstruction,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as under construction.
geofence/airport,airport,geofence,concourse,"A large open area inside or in front of a public building, as in an airport or train station."
geofence/airport,airport,geofence,concourse,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a concourse.
geofence/airport,airport,geofence,terminal,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a terminal.
geofence/airport,airport.intl,geofence,concourse,"A large open area inside or in front of a public building, as in an airport or train station."
geofence/airport,airport.intl,geofence,concourse,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a concourse.
geofence/airport,airport.intl,geofence,terminal,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a terminal.
level,,level,arrivals,Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians that are arriving from a location.
level,,level,arrivals.domestic,Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians that are arriving from a domestic location.
level,,level,arrivals.intl,Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians that are arriving from an international location.
level,,level,departures,Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians that are departing to a destination.
level,,level,departures.domestic,Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians that are departing to a domestic destination.
level,,level,departures.intl,Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians that are departing to an international destination.
level,,level,parking,"Locations that provide office space to park vehicles, usually for a fee."
level,,level,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
level,,level,transit,Describes a physical structure whose sole operational purpose is to provide transportation services.
level,,level,transit,"Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians: Within or among different parts of the same Venue (inter-venue transit). Within, among and beyond the Venue."
level,,level,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
level/airport,airport,level,parking,"Locations that provide office space to park vehicles, usually for a fee."
level/airport,airport,level,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
level/airport,airport,level,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
level/airport,airport.intl,level,parking,"Locations that provide office space to park vehicles, usually for a fee."
level/airport,airport.intl,level,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
level/airport,airport.intl,level,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
level/shoppingcenter,shoppingcenter,level,parking,"Locations that provide office space to park vehicles, usually for a fee."
level/shoppingcenter,shoppingcenter,level,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
level/shoppingcenter,shoppingcenter,level,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
level/trainstation,trainstation,level,parking,"Locations that provide office space to park vehicles, usually for a fee."
level/trainstation,trainstation,level,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
level/trainstation,trainstation,level,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
occupant,,occupant,3dprinting,A business that provides 3D printing services. 3D printers synthesize three-dimensional object by adding successive layers of material under the control of a computer.
occupant,,occupant,acai,"A business that specializes in acai bowls, a thick smoothie made out of frozen and mashed acai berries (acai palm) and topped with various ingredients, most commonly oatmeal/granola, fruit, coconut flakes, honey, syrup, peanut butter, almonds, and hemp seeds. Although acai bowls are usually sweet, there are also savory versions containing shrimp or dried fish and tapioca (typically found in Northern Brazil)."
occupant,,occupant,accessories,
occupant,,occupant,accounting,A person or business with expertise in financial accounts
occupant,,occupant,acnetreatment,"A business or individual specializing in treating acne (whiteheads, blackheads, or pimples), which often includes laser treatments, medications, targeted facials, and diet management. (Note: this should not be used for products for treating acne as they are generally not eligible for a Yelp listing.)"
occupant,,occupant,acupuncture,"A business or clinic with expertise in the alternative medicine of acupuncture. Originating within traditional Chinese medicine, acupuncture is a technique of inserting thin needles into the body (and occasionally the application of heat, pressure, or laser light) at acupuncture points."
occupant,,occupant,adoptionservices,An organization or business that helps find children for adults to adopt. For Pets please use pets.petadoption. 
occupant,,occupant,adulteducation,"Schools specializing in programs for adults, both degree and non-degree, at the university-level or technical-training level."
occupant,,occupant,adultentertainment,"A venue with entertainment usually considered of an adult nature, typically sexual. This include places like strip clubs, and legal sex work."
occupant,,occupant,adultstore,A business specializing in the sale of adult themed items
occupant,,occupant,advertising,A person or business with expertise in advertising. 
occupant,,occupant,advisoryservices,"Businesses or individuals specializing in the management of clients' financial investments and/or assets, providing investment advice, and offering financial planning services."
occupant,,occupant,afghani,An establishment specializing in Afgan cuisine.
occupant,,occupant,african,An establishment specializing in African cuisine.
occupant,,occupant,agritourism,Any agriculturally based operation or activity that brings visitors to a farm or ranch. 
occupant,,occupant,airfield,"An open field designated for the taking off and landing of aircraft, but which, unlike an airport, does not necessarily have terminals or paved runways."
occupant,,occupant,airline,A company that provides the service of air travel including the planes and pilots.
occupant,,occupant,airport.regional," A facility for the landing, takeoff, shelter, supply, and repair of aircraft, especially one used for receiving or discharging passengers and cargo at regularly scheduled times that handles only domestic flights—flights within the same country. "
occupant,,occupant,airportloungebar,A lounge space inside an airport restricted to customers of specific airlines. Usually offering greater comfort and service than the regular section of the airport. 
occupant,,occupant,airportshuttle,A van or bus providing travel to and from airports.
occupant,,occupant,airsoft,"A facility where airsoft, a military simulation sport where players participate in mock combat with authentic military-style weapons and tactics, is played. The airsoft guns used are full scale replicas of real world weapons (not to be confused with paintball, which uses special paint marker/guns)."
occupant,,occupant,allergies,Doctors specializing in diagnosing and treating allergies.
occupant,,occupant,alternativemedicine,"An establishment offering treatment which falls in any of a range of medical therapies that are not regarded as orthodox by the medical profession, such as herbalism, homeopathy, and acupuncture."
occupant,,occupant,american.modern,"An establishment specializing in modern American cuisine, typically more fine dining experience."
occupant,,occupant,amusementpark,"Commercially operated parks featuring roller coasters, shooting galleries, merry-go-rounds, and refreshment stands. For Kids, please use kids_activities."
occupant,,occupant,amusementpark.ride,An attraction at an amusement park or carnival type event.
occupant,,occupant,animalshelter,"An organization that cares for, treats, houses and re-homes animals that have either been rescued from the street or handed in by the public"
occupant,,occupant,antiques,A business specializing in the sale of antique goods
occupant,,occupant,apmstop,"A transit stop for an Automated People Mover (APM) which generally connects multiple buildings or terminals within an airport or other large venue; Eg airtrains, skyrails, etc"
occupant,,occupant,appliances,"A retailer selling consumer grade items for household consumption. Things like white goods, Televisions, electronics, kettles, sewing machines, vacuum cleaners, stereos, etc."
occupant,,occupant,arabian,An establishment specializing in Arabian cuisine.
occupant,,occupant,arabian.pizza,A restaurant specializing in Arab style flatbread generally topped with tomato sauce and cheese. 
occupant,,occupant,arcade,Facilities offering arcade games.
occupant,,occupant,archery,"Locations or facilities where archery is played, a sport played using a bow and arrow."
occupant,,occupant,architecture,A person or business with expertise in architecture
occupant,,occupant,argentine,An establishment specializing in Argentine cuisine.
occupant,,occupant,armenian,An establishment specializing in Armenian cuisine.
occupant,,occupant,artgallery,"Facilities dedicated to the sale of visual art, e.g. paintings, sculptures, and photographs. Includes art museums, in conjunction with the museum category."
occupant,,occupant,artinstruction,"Businesses that are less formal than art schools, specializing in art instruction for generally recreational purposes. "
occupant,,occupant,arts.entertainment,
occupant,,occupant,artsandcrafts,"A business specializing in the sale of items and materials associated with creating art and craft hobbies like painting, sculpting, drawing, etc."
occupant,,occupant,artschool,"Educational institutions specializing in instruction in the visual arts. Not to be confused with Art Classes, or schools offering a degree or certification."
occupant,,occupant,artstudio,"A workshop or studio where a professional artist, artisan, or designer creates. Traditionally, ateliers were for fine and decorative arts, but today they can be used for various forms of art (ceramics, painting, photography, knitting, chocolate-making, glass and jewelry design, etc.)"
occupant,,occupant,artstudio.rental,Studios and spaces available to rent for the production of art.
occupant,,occupant,artsupplies,A business specializing in the sale of supplies for creating art.
occupant,,occupant,asianfusion,An establishment specializing in food that is a combination of traditional Asian styles and flavors with modern techniques and foreign influences.
occupant,,occupant,astrologist,A person who uses astrology to tell others about their character or to predict their future.
occupant,,occupant,asturian,A restaurant specializing in the regional cuisine of Asturia.
occupant,,occupant,atm,
occupant,,occupant,atm.cryptocurrency,ATM specifically used for cryptocurrencies like Bitcoin.
occupant,,occupant,audiovideoequipment,A business specializing in high quality audio equipment.
